scenario,classifier,batch_balance,normalization,split,error_mean,error_sd,error_min,error_max,n_runs
jama_scenario1_3,knn,True,mn,50,0.12148962148962146,0.029380242772932757,0.0934065934065934,0.152014652014652,3
jama_scenario1_3,knn,True,mn,70,0.12759462759462734,0.00921835706382251,0.119047619047619,0.137362637362637,3
jama_scenario1_3,knn,True,mn,80,0.13516819571865432,0.010105634031717629,0.128440366972477,0.146788990825688,3
jama_scenario1_3,knn,True,mn,90,0.17887667887667869,0.025728092192558425,0.152014652014652,0.203296703296703,3
jama_scenario1_3,knn,True,mn,100,0.39266055045871534,0.06833476862215102,0.352293577981651,0.471559633027523,3
jama_scenario1_3,knn,True,non,50,0.13064713064713065,0.020257216145344262,0.111721611721612,0.152014652014652,3
jama_scenario1_3,knn,True,non,70,0.13492063492063466,0.011631598829827543,0.128205128205128,0.148351648351648,3
jama_scenario1_3,knn,True,non,80,0.14801223241590233,0.023305882426003115,0.121100917431193,0.161467889908257,3
jama_scenario1_3,knn,True,non,90,0.17338217338217332,0.02390326245476443,0.148351648351648,0.195970695970696,3
jama_scenario1_3,knn,True,non,100,0.2042813455657493,0.013017612632288966,0.192660550458716,0.218348623853211,3
jama_scenario1_3,knn,True,qn,50,0.11782661782661796,0.025267646015354226,0.0989010989010989,0.146520146520147,3
jama_scenario1_3,knn,True,qn,70,0.134920634920635,0.005595330518871571,0.13003663003663,0.141025641025641,3
jama_scenario1_3,knn,True,qn,80,0.13700305810397567,0.005898257346173307,0.130275229357798,0.141284403669725,3
jama_scenario1_3,knn,True,qn,90,0.178876678876679,0.021384957128372285,0.155677655677656,0.197802197802198,3
jama_scenario1_3,knn,True,qn,100,0.387767584097859,0.06303849465373663,0.35045871559633,0.460550458715596,3
jama_scenario1_3,knn,True,vsn,50,0.11477411477411503,0.02605200035818306,0.0970695970695971,0.144688644688645,3
jama_scenario1_3,knn,True,vsn,70,0.13003663003663032,0.007983331398426295,0.120879120879121,0.135531135531136,3
jama_scenario1_3,knn,True,vsn,80,0.13761467889908266,0.004854589561586711,0.132110091743119,0.141284403669725,3
jama_scenario1_3,knn,True,vsn,90,0.17948717948717932,0.014991488593172843,0.163003663003663,0.192307692307692,3
jama_scenario1_3,knn,True,vsn,100,0.42079510703363904,0.06626707391208224,0.379816513761468,0.497247706422018,3
jama_scenario1_3,lasso,True,mn,50,0.111111111111111,0.011631598829828121,0.104395604395604,0.124542124542125,3
jama_scenario1_3,lasso,True,mn,70,0.11111111111111134,0.008258699180994068,0.102564102564103,0.119047619047619,3
jama_scenario1_3,lasso,True,mn,80,0.13333333333333333,0.02609980219370264,0.115596330275229,0.163302752293578,3
jama_scenario1_3,lasso,True,mn,90,0.14835164835164835,0.022875450543583916,0.13003663003663,0.173992673992674,3
jama_scenario1_3,lasso,True,mn,100,0.22018348623853198,0.03318007581656003,0.188990825688073,0.255045871559633,3
jama_scenario1_3,lasso,True,non,50,0.10989010989010967,0.009516762678950179,0.104395604395604,0.120879120879121,3
jama_scenario1_3,lasso,True,non,70,0.10012210012210014,0.006432023048139558,0.0934065934065934,0.106227106227106,3
jama_scenario1_3,lasso,True,non,80,0.124770642201835,0.018348623853210996,0.106422018348624,0.143119266055046,3
jama_scenario1_3,lasso,True,non,90,0.13553113553113535,0.02112190951404894,0.119047619047619,0.159340659340659,3
jama_scenario1_3,lasso,True,non,100,0.1951070336391437,0.015388068043314208,0.185321100917431,0.212844036697248,3
jama_scenario1_3,lasso,True,qn,50,0.11904761904761903,0.019033525357899705,0.0970695970695971,0.13003663003663,3
jama_scenario1_3,lasso,True,qn,70,0.133699633699634,0.019121440492510192,0.111721611721612,0.146520146520147,3
jama_scenario1_3,lasso,True,qn,80,0.146788990825688,0.02952931548519501,0.115596330275229,0.174311926605505,3
jama_scenario1_3,lasso,True,qn,90,0.184981684981685,0.03898131255273399,0.15018315018315,0.227106227106227,3
jama_scenario1_3,lasso,True,qn,100,0.24403669724770635,0.03818101292969712,0.220183486238532,0.288073394495413,3
jama_scenario1_3,lasso,True,vsn,50,0.11355311355311366,0.014537095115739328,0.102564102564103,0.13003663003663,3
jama_scenario1_3,lasso,True,vsn,70,0.11477411477411466,0.0046091785319112176,0.10989010989011,0.119047619047619,3
jama_scenario1_3,lasso,True,vsn,80,0.14678899082568833,0.03853211009174329,0.119266055045872,0.190825688073395,3
jama_scenario1_3,lasso,True,vsn,90,0.18559218559218568,0.04476264415097233,0.146520146520147,0.234432234432234,3
