scenario,classifier,batch_balance,normalization,repeat_id,split,error
jama_scenario1_3,knn,True,mn,1,50,0.119047619047619
jama_scenario1_3,knn,True,non,1,50,0.111721611721612
jama_scenario1_3,knn,True,qn,1,50,0.108058608058608
jama_scenario1_3,knn,True,vsn,1,50,0.102564102564103
jama_scenario1_3,knn,True,mn,2,50,0.152014652014652
jama_scenario1_3,knn,True,non,2,50,0.152014652014652
jama_scenario1_3,knn,True,qn,2,50,0.146520146520147
jama_scenario1_3,knn,True,vsn,2,50,0.144688644688645
jama_scenario1_3,knn,True,mn,3,50,0.0934065934065934
jama_scenario1_3,knn,True,non,3,50,0.128205128205128
jama_scenario1_3,knn,True,qn,3,50,0.0989010989010989
jama_scenario1_3,knn,True,vsn,3,50,0.0970695970695971
jama_scenario1_3,knn,True,mn,1,70,0.137362637362637
jama_scenario1_3,knn,True,non,1,70,0.148351648351648
jama_scenario1_3,knn,True,qn,1,70,0.141025641025641
jama_scenario1_3,knn,True,vsn,1,70,0.135531135531136
jama_scenario1_3,knn,True,mn,2,70,0.126373626373626
jama_scenario1_3,knn,True,non,2,70,0.128205128205128
jama_scenario1_3,knn,True,qn,2,70,0.13003663003663
jama_scenario1_3,knn,True,vsn,2,70,0.133699633699634
jama_scenario1_3,knn,True,mn,3,70,0.119047619047619
jama_scenario1_3,knn,True,non,3,70,0.128205128205128
jama_scenario1_3,knn,True,qn,3,70,0.133699633699634
jama_scenario1_3,knn,True,vsn,3,70,0.120879120879121
jama_scenario1_3,knn,True,mn,1,80,0.146788990825688
jama_scenario1_3,knn,True,non,1,80,0.161467889908257
jama_scenario1_3,knn,True,qn,1,80,0.141284403669725
jama_scenario1_3,knn,True,vsn,1,80,0.141284403669725
jama_scenario1_3,knn,True,mn,2,80,0.130275229357798
jama_scenario1_3,knn,True,non,2,80,0.121100917431193
jama_scenario1_3,knn,True,qn,2,80,0.130275229357798
jama_scenario1_3,knn,True,vsn,2,80,0.132110091743119
jama_scenario1_3,knn,True,mn,3,80,0.128440366972477
jama_scenario1_3,knn,True,non,3,80,0.161467889908257
jama_scenario1_3,knn,True,qn,3,80,0.139449541284404
jama_scenario1_3,knn,True,vsn,3,80,0.139449541284404
jama_scenario1_3,knn,True,mn,1,90,0.203296703296703
jama_scenario1_3,knn,True,non,1,90,0.195970695970696
jama_scenario1_3,knn,True,qn,1,90,0.197802197802198
jama_scenario1_3,knn,True,vsn,1,90,0.192307692307692
jama_scenario1_3,knn,True,mn,2,90,0.152014652014652
jama_scenario1_3,knn,True,non,2,90,0.148351648351648
jama_scenario1_3,knn,True,qn,2,90,0.155677655677656
jama_scenario1_3,knn,True,vsn,2,90,0.163003663003663
jama_scenario1_3,knn,True,mn,3,90,0.181318681318681
jama_scenario1_3,knn,True,non,3,90,0.175824175824176
jama_scenario1_3,knn,True,qn,3,90,0.183150183150183
jama_scenario1_3,knn,True,vsn,3,90,0.183150183150183
jama_scenario1_3,knn,True,mn,1,100,0.354128440366972
jama_scenario1_3,knn,True,non,1,100,0.218348623853211
jama_scenario1_3,knn,True,qn,1,100,0.352293577981651
jama_scenario1_3,knn,True,vsn,1,100,0.385321100917431
jama_scenario1_3,knn,True,mn,2,100,0.352293577981651
jama_scenario1_3,knn,True,non,2,100,0.192660550458716
jama_scenario1_3,knn,True,qn,2,100,0.35045871559633
jama_scenario1_3,knn,True,vsn,2,100,0.379816513761468
jama_scenario1_3,knn,True,mn,3,100,0.471559633027523
jama_scenario1_3,knn,True,non,3,100,0.201834862385321
jama_scenario1_3,knn,True,qn,3,100,0.460550458715596
jama_scenario1_3,knn,True,vsn,3,100,0.497247706422018
jama_scenario1_3,lasso,True,mn,1,50,0.104395604395604
jama_scenario1_3,lasso,True,non,1,50,0.104395604395604
jama_scenario1_3,lasso,True,qn,1,50,0.13003663003663
jama_scenario1_3,lasso,True,vsn,1,50,0.102564102564103
jama_scenario1_3,lasso,True,mn,2,50,0.124542124542125
jama_scenario1_3,lasso,True,non,2,50,0.120879120879121
jama_scenario1_3,lasso,True,qn,2,50,0.13003663003663
jama_scenario1_3,lasso,True,vsn,2,50,0.13003663003663
jama_scenario1_3,lasso,True,mn,3,50,0.104395604395604
jama_scenario1_3,lasso,True,non,3,50,0.104395604395604
jama_scenario1_3,lasso,True,qn,3,50,0.0970695970695971
jama_scenario1_3,lasso,True,vsn,3,50,0.108058608058608
jama_scenario1_3,lasso,True,mn,1,70,0.119047619047619
jama_scenario1_3,lasso,True,non,1,70,0.106227106227106
jama_scenario1_3,lasso,True,qn,1,70,0.146520146520147
jama_scenario1_3,lasso,True,vsn,1,70,0.115384615384615
jama_scenario1_3,lasso,True,mn,2,70,0.102564102564103
jama_scenario1_3,lasso,True,non,2,70,0.0934065934065934
