scenario,batch_balance,classifier,normalization,error_50,error_70,error_80,error_90,error_100,sd_50,sd_70,sd_80,sd_90,sd_100,n_runs_50,n_runs_70,n_runs_80,n_runs_90,n_runs_100
jama_scenario1_3,True,knn,mn,0.1214896214896214,0.1275946275946273,0.1351681957186543,0.1788766788766786,0.3926605504587153,0.0293802427729327,0.0092183570638225,0.0101056340317176,0.0257280921925584,0.068334768622151,3,3,3,3,3
jama_scenario1_3,True,knn,non,0.1306471306471306,0.1349206349206346,0.1480122324159023,0.1733821733821733,0.2042813455657493,0.0202572161453442,0.0116315988298275,0.0233058824260031,0.0239032624547644,0.0130176126322889,3,3,3,3,3
jama_scenario1_3,True,knn,qn,0.1178266178266179,0.134920634920635,0.1370030581039756,0.178876678876679,0.387767584097859,0.0252676460153542,0.0055953305188715,0.0058982573461733,0.0213849571283722,0.0630384946537366,3,3,3,3,3
jama_scenario1_3,True,knn,vsn,0.114774114774115,0.1300366300366303,0.1376146788990826,0.1794871794871793,0.420795107033639,0.026052000358183,0.0079833313984262,0.0048545895615867,0.0149914885931728,0.0662670739120822,3,3,3,3,3
jama_scenario1_3,True,lasso,mn,0.111111111111111,0.1111111111111113,0.1333333333333333,0.1483516483516483,0.2201834862385319,0.0116315988298281,0.008258699180994,0.0260998021937026,0.0228754505435839,0.03318007581656,3,3,3,3,3
jama_scenario1_3,True,lasso,non,0.1098901098901096,0.1001221001221001,0.124770642201835,0.1355311355311353,0.1951070336391437,0.0095167626789501,0.0064320230481395,0.0183486238532109,0.0211219095140489,0.0153880680433142,3,3,3,3,3
jama_scenario1_3,True,lasso,qn,0.119047619047619,0.133699633699634,0.146788990825688,0.184981684981685,0.2440366972477063,0.0190335253578997,0.0191214404925101,0.029529315485195,0.0389813125527339,0.0381810129296971,3,3,3,3,3
jama_scenario1_3,True,lasso,vsn,0.1135531135531136,0.1147741147741146,0.1467889908256883,0.1855921855921856,0.2801223241590216,0.0145370951157393,0.0046091785319112,0.0385321100917432,0.0447626441509723,0.1058881473551291,3,3,3,3,3
jama_scenario1_3,True,pam,mn,0.1746031746031746,0.1862026862026863,0.177981651376147,0.2203907203907203,0.256880733944954,0.0190628754529866,0.0173106799496431,0.0288371259550491,0.0155767409306141,0.034862385321101,3,3,3,3,3
jama_scenario1_3,True,pam,non,0.2045177045177043,0.1959706959706957,0.196941896024465,0.25030525030525,0.3376146788990826,0.0100871255444799,0.004845698371913,0.0056055971803738,0.091103793318632,0.1318932981649686,3,3,3,3,3
jama_scenario1_3,True,pam,qn,0.181318681318681,0.1923076923076919,0.1920489296636083,0.2142857142857143,0.2318042813455656,0.0190335253578997,0.0174714139453651,0.020459606952511,0.0305921118836812,0.0408780545847262,3,3,3,3,3
jama_scenario1_3,True,pam,vsn,0.1782661782661783,0.1947496947496943,0.1932721712538226,0.2271062271062273,0.2629969418960243,0.0201742510889599,0.0132494105092862,0.0170487582443621,0.0384615384615385,0.0387644082629744,3,3,3,3,3
